shipment_wk,shipment_dt,region,fc,sub_hub,shippingtype,isfresh,actual_packgroup,actual_boxname,sku_band,cate2,cate3,cate4,cate5,skuseq,skuname,ordernumber,invoicenumber,units
29,2023-07-17,South,ECH2,GWJ2 Sub-hub,STANDARD,CORE,PAPER,B4호,D,식품,장/오일/소스,소스/드레싱/식초,식초/음용식초,349940,폰티_화이트발사믹식초 500ML,32100002339444,10249192627590,1
29,2023-07-16,South,DON1,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),C,생활용품,세제류,세탁세제류,액체 섬유유연제,34118157,버넬 섬유유연제 일랑일랑&베티버 900mL,21100002236189,10249151567970,4
29,2023-07-21,South,SAN2,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,A,식품,생수/음료,음료,스포츠/이온음료,448086,Box_포카리스웨트 패트 340ml 20개 [단품 1],17100002974764,10249418460945,1
29,2023-07-17,South,MCN1,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,식품,생수/음료,음료,차음료,12740848,Box_동원 순백보리차 1.5L x 12입,16100002402334,10249214017335,1
29,2023-07-17,South,DAE3,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),D,문구/사무용품,문구/팬시용품,노트/다이어리/캘린더,일기장/가계부/기타기록지,3301354,영아트그림일기(A4) 남아용 5개 랜덤,10100002409584,10249216608934,1
29,2023-07-16,South,ANS5,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,E,가구/홈인테리어,인테리어용품,거울,전신거울,1856209,모던미러 클리어 1600 거치전신거울 옹이 1600 x 400mm,1100002217242,10249151457215,1
29,2023-07-18,South,ANS4,GMH1 Sub-hub,STANDARD,CORE,PAPER,B29호,D,식품,가루/조미료/향신료,밀가루/프리믹스,밀가루/부침/튀김/빵가루,35038018,대한제분 암소 박력밀가루 20kg 1개,26100002414836,10249220716965,1
29,2023-07-17,South,SAN2,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,생활용품,세제류,세탁세제류,드럼용세탁세제,3016359,Box_액체 비트 드럼 2L 리필 4입,18100002373839,10249205655452,1
29,2023-07-16,South,GWJ4,GWJ2 Sub-hub,OVERNIGHT,CORE,TPB,TPB11,B,생활용품,세제류,세탁세제류,액체 섬유유연제,10165935,단품_고농축 피죤 오리지널 1L 오션후레쉬,7100002237614,10249150574552,2
29,2023-07-18,South,SAN2,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,D,식품,생수/음료,생수/탄산수,심층수/기타생수,22303891,천년동안 에코 생수 1.2L 9개입,7100002488970,10249241473726,1
29,2023-07-22,South,CHW4,GWJ2 Sub-hub,STANDARD,CORE,TPB,TPB 1호,B,생활용품,세제류,세탁세제류,일반세탁세제,33806774,퍼실 퓨어프레쉬 9중효소 실내건조 드럼용 2.7L,17100003037888,10249442231814,1
29,2023-07-20,South,SAN2,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,E,식품,생수/음료,음료,과일음료,13168785,Box_하늘청 사과매실 300ml 10개입,5100002760775,10249340513425,1
29,2023-07-17,South,ECH2,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),D,생활용품,해충퇴치용품,살충/방충용품,모기장/모기채,35233665,자석모기장(소형)90x210cm / 블랙(90x210cm),14100002396934,10249211012143,1
29,2023-07-17,South,GMH2,GWJ2 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),D,뷰티,네일/핸드/풋케어,네일케어,인조손톱/네일팁,33214162,오호라 P 위티 페디,22100002295517,10249179849473,1
29,2023-07-21,South,YAS1,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,D,가전디지털,생활가전,주방가전,간식메이커,20150451,"루카 크로플 와플 메이커 샌드위치 기계 와플기 전기 와플팬, 크림화이트, luka-wa001",25100002878566,10249384000866,1
29,2023-07-19,South,CHW1,GMH1 Sub-hub,OVERNIGHT,CORE,TPB,TPB11,A,생활용품,세제류,세탁세제류,일반세탁세제,33539755,퍼실 파워젤 플러스 일반용 2.7L,30100002692408,10249313258004,1
